image_id,relative_source_image_path,relative_xml_path,preview_path,object_count,small_box_count,duplicate_group_id,sampling_reason,review_status,reviewer_notes
levle0_0,data/raw/acne04/Classification/JPEGImages/levle0_0.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_0.xml,images/levle0_0.jpg,3,0,,split_list:NNEW_test_3.txt,Pending,
levle0_1,data/raw/acne04/Classification/JPEGImages/levle0_1.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_1.xml,images/levle0_1.jpg,3,0,,split_list:NNEW_test_2.txt,Pending,
levle0_10,data/raw/acne04/Classification/JPEGImages/levle0_10.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_10.xml,images/levle0_10.jpg,20,0,,split_list:NNEW_trainval_0.txt,Pending,
levle0_100,data/raw/acne04/Classification/JPEGImages/levle0_100.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_100.xml,images/levle0_100.jpg,2,0,,split_list:NNEW_test_4.txt,Pending,
levle0_101,data/raw/acne04/Classification/JPEGImages/levle0_101.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_101.xml,images/levle0_101.jpg,1,0,,split_list:NNEW_trainval_1.txt,Pending,
levle0_102,data/raw/acne04/Classification/JPEGImages/levle0_102.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_102.xml,images/levle0_102.jpg,3,0,,split_list:NNEW_trainval_2.txt,Pending,
levle0_103,data/raw/acne04/Classification/JPEGImages/levle0_103.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_103.xml,images/levle0_103.jpg,2,0,,split_list:NNEW_test_0.txt,Pending,
levle0_104,data/raw/acne04/Classification/JPEGImages/levle0_104.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_104.xml,images/levle0_104.jpg,1,0,,split_list:NNEW_trainval_3.txt,Pending,
levle0_105,data/raw/acne04/Classification/JPEGImages/levle0_105.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_105.xml,images/levle0_105.jpg,1,0,,split_list:NNEW_trainval_4.txt,Pending,
levle0_110,data/raw/acne04/Classification/JPEGImages/levle0_110.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_110.xml,images/levle0_110.jpg,2,0,,split_list:NNEW_test_1.txt,Pending,
levle0_116,data/raw/acne04/Classification/JPEGImages/levle0_116.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_116.xml,images/levle0_116.jpg,2,0,f5e03bbf416d61a4530403f32db46b69f57b25f6f636781c6b37a45db42400aa,duplicate_group:f5e03bbf416d,Pending,
levle0_117,data/raw/acne04/Classification/JPEGImages/levle0_117.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_117.xml,images/levle0_117.jpg,2,0,b257a192234a349684044c442598529d18dcd6830961450fd72620606f967045,duplicate_group:b257a192234a,Pending,
levle0_118,data/raw/acne04/Classification/JPEGImages/levle0_118.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_118.xml,images/levle0_118.jpg,1,0,59ae260f2e1fe25b80854c3323ed85976d61d530b60d60b76ddfa7be53489e67,duplicate_group:59ae260f2e1f,Pending,
levle0_119,data/raw/acne04/Classification/JPEGImages/levle0_119.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_119.xml,images/levle0_119.jpg,1,0,4cb2a60071e6d4a135c853b3785580895374341a900eddb38114d42677bf9218,duplicate_group:4cb2a60071e6,Pending,
