duplicate_group_id,image_id,split,source_object_count,converted_object_count,group_object_counts,boxes_identical_to_group,conversion_integrity_valid,blocking_issue,verified_explanation
06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,levle0_131,train,2,2,levle0_131:2;levle0_24:3,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,levle0_24,train,3,3,levle0_131:2;levle0_24:3,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963,levle0_120,train,4,4,levle0_120:4;levle1_486:8,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963,levle1_486,train,8,8,levle0_120:4;levle1_486:8,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a,levle1_23,test,9,9,levle1_23:9;levle2_153:24,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a,levle2_153,test,24,24,levle1_23:9;levle2_153:24,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a,levle1_572,train,11,11,levle1_572:11;levle1_574:7,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a,levle1_574,train,7,7,levle1_572:11;levle1_574:7,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2,levle0_42,train,2,2,levle0_42:2;levle0_94:1,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2,levle0_94,train,1,1,levle0_42:2;levle0_94:1,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
3fcb0f1627c6ad98df131b8f9c7ae10e9ba5d0e9599cf525ec54ce072ebcbfe5,levle1_20,train,8,8,levle1_20:8;levle2_151:24,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
3fcb0f1627c6ad98df131b8f9c7ae10e9ba5d0e9599cf525ec54ce072ebcbfe5,levle2_151,train,24,24,levle1_20:8;levle2_151:24,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
46417b44b16e0aac18cf592947a2d6e2f6f4ea48bd5b1bf6c8b4893c0fab7533,levle2_70,train,30,30,levle2_70:30;levle2_96:22,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
46417b44b16e0aac18cf592947a2d6e2f6f4ea48bd5b1bf6c8b4893c0fab7533,levle2_96,train,22,22,levle2_70:30;levle2_96:22,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
56f232f4433dd59a75104e2370b6d2367444046a071b10cee66b1da17bf7862e,levle1_145,val,7,7,levle1_145:7;levle1_281:9,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
56f232f4433dd59a75104e2370b6d2367444046a071b10cee66b1da17bf7862e,levle1_281,val,9,9,levle1_145:7;levle1_281:9,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
5b605bc92fcd022a9193bbdf5c9e0ac18bce8da4e29df9a6731b1bb46dcd1eea,levle1_16,val,9,9,levle1_16:9;levle2_150:21,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
5b605bc92fcd022a9193bbdf5c9e0ac18bce8da4e29df9a6731b1bb46dcd1eea,levle2_150,val,21,21,levle1_16:9;levle2_150:21,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
611532acc5ec2bf348ef5c4188532e15c8de490178c8b33cdc8fc972d2fb64d3,levle1_136,train,7,7,levle1_136:7;levle1_54:9,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
