image_id,split,source_image_path,source_xml_path,yolo_label_path,source_object_count,converted_object_count,max_coordinate_delta_px,minimum_matched_iou,mean_matched_iou,unmatched_source_boxes,unmatched_converted_boxes,very_small_box_count,duplicate_group_id,duplicate_crosses_split,automated_status,automated_reasons
levle0_0,train,data/raw/acne04/Classification/JPEGImages/levle0_0.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_0.xml,data/processed/acne04_yolo/labels/train/levle0_0.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_1,train,data/raw/acne04/Classification/JPEGImages/levle0_1.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_1.xml,data/processed/acne04_yolo/labels/train/levle0_1.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_10,train,data/raw/acne04/Classification/JPEGImages/levle0_10.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_10.xml,data/processed/acne04_yolo/labels/train/levle0_10.txt,20,20,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_100,train,data/raw/acne04/Classification/JPEGImages/levle0_100.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_100.xml,data/processed/acne04_yolo/labels/train/levle0_100.txt,2,2,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_101,train,data/raw/acne04/Classification/JPEGImages/levle0_101.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_101.xml,data/processed/acne04_yolo/labels/train/levle0_101.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_102,train,data/raw/acne04/Classification/JPEGImages/levle0_102.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_102.xml,data/processed/acne04_yolo/labels/train/levle0_102.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_103,train,data/raw/acne04/Classification/JPEGImages/levle0_103.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_103.xml,data/processed/acne04_yolo/labels/train/levle0_103.txt,2,2,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_104,train,data/raw/acne04/Classification/JPEGImages/levle0_104.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_104.xml,data/processed/acne04_yolo/labels/train/levle0_104.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_105,train,data/raw/acne04/Classification/JPEGImages/levle0_105.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_105.xml,data/processed/acne04_yolo/labels/train/levle0_105.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_106,test,data/raw/acne04/Classification/JPEGImages/levle0_106.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_106.xml,data/processed/acne04_yolo/labels/test/levle0_106.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_107,train,data/raw/acne04/Classification/JPEGImages/levle0_107.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_107.xml,data/processed/acne04_yolo/labels/train/levle0_107.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_108,train,data/raw/acne04/Classification/JPEGImages/levle0_108.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_108.xml,data/processed/acne04_yolo/labels/train/levle0_108.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_109,train,data/raw/acne04/Classification/JPEGImages/levle0_109.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_109.xml,data/processed/acne04_yolo/labels/train/levle0_109.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_11,train,data/raw/acne04/Classification/JPEGImages/levle0_11.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_11.xml,data/processed/acne04_yolo/labels/train/levle0_11.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_110,train,data/raw/acne04/Classification/JPEGImages/levle0_110.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_110.xml,data/processed/acne04_yolo/labels/train/levle0_110.txt,2,2,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_111,train,data/raw/acne04/Classification/JPEGImages/levle0_111.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_111.xml,data/processed/acne04_yolo/labels/train/levle0_111.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_112,train,data/raw/acne04/Classification/JPEGImages/levle0_112.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_112.xml,data/processed/acne04_yolo/labels/train/levle0_112.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_113,val,data/raw/acne04/Classification/JPEGImages/levle0_113.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_113.xml,data/processed/acne04_yolo/labels/val/levle0_113.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_114,train,data/raw/acne04/Classification/JPEGImages/levle0_114.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_114.xml,data/processed/acne04_yolo/labels/train/levle0_114.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_115,test,data/raw/acne04/Classification/JPEGImages/levle0_115.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_115.xml,data/processed/acne04_yolo/labels/test/levle0_115.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_116,train,data/raw/acne04/Classification/JPEGImages/levle0_116.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_116.xml,data/processed/acne04_yolo/labels/train/levle0_116.txt,2,2,0.000000,1.000000,1.000000,0,0,0,f5e03bbf416d61a4530403f32db46b69f57b25f6f636781c6b37a45db42400aa,false,PASS,
