image_id,split,source_image_path,source_xml_path,yolo_label_path,source_object_count,converted_object_count,max_coordinate_delta_px,minimum_matched_iou,mean_matched_iou,unmatched_source_boxes,unmatched_converted_boxes,very_small_box_count,duplicate_group_id,duplicate_crosses_split,automated_status,automated_reasons
levle0_117,val,data/raw/acne04/Classification/JPEGImages/levle0_117.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_117.xml,data/processed/acne04_yolo/labels/val/levle0_117.txt,2,2,0.000000,1.000000,1.000000,0,0,0,b257a192234a349684044c442598529d18dcd6830961450fd72620606f967045,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
levle0_12,val,data/raw/acne04/Classification/JPEGImages/levle0_12.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_12.xml,data/processed/acne04_yolo/labels/val/levle0_12.txt,1,1,0.000000,1.000000,1.000000,0,0,1,,false,NEEDS_REVIEW,contains_very_small_box
levle0_120,train,data/raw/acne04/Classification/JPEGImages/levle0_120.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_120.xml,data/processed/acne04_yolo/labels/train/levle0_120.txt,4,4,0.000000,1.000000,1.000000,0,0,0,0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
levle0_121,train,data/raw/acne04/Classification/JPEGImages/levle0_121.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_121.xml,data/processed/acne04_yolo/labels/train/levle0_121.txt,5,5,0.000000,1.000000,1.000000,0,0,0,828240b5dd6441a5b7e339b1c4257725175f9d1b6ec01d90a000bbfec1d16be5,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
levle0_131,train,data/raw/acne04/Classification/JPEGImages/levle0_131.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_131.xml,data/processed/acne04_yolo/labels/train/levle0_131.txt,2,2,0.000000,1.000000,1.000000,0,0,0,06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
levle0_172,train,data/raw/acne04/Classification/JPEGImages/levle0_172.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_172.xml,data/processed/acne04_yolo/labels/train/levle0_172.txt,4,4,0.000000,1.000000,1.000000,0,0,0,8e219a67bbef8530223502453b2c1924b89b56e8ca09e6b84120a84354bb8615,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
levle0_185,train,data/raw/acne04/Classification/JPEGImages/levle0_185.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_185.xml,data/processed/acne04_yolo/labels/train/levle0_185.txt,3,3,0.000000,1.000000,1.000000,0,0,0,9d1adbdaf1926dc91901a53e69f56be19045ea7f3f36f557244a7f0367f833d9,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
levle0_207,val,data/raw/acne04/Classification/JPEGImages/levle0_207.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_207.xml,data/processed/acne04_yolo/labels/val/levle0_207.txt,1,1,0.000000,1.000000,1.000000,0,0,0,b257a192234a349684044c442598529d18dcd6830961450fd72620606f967045,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
levle0_224,test,data/raw/acne04/Classification/JPEGImages/levle0_224.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_224.xml,data/processed/acne04_yolo/labels/test/levle0_224.txt,3,3,0.000000,1.000000,1.000000,0,0,1,,false,NEEDS_REVIEW,contains_very_small_box
levle0_24,train,data/raw/acne04/Classification/JPEGImages/levle0_24.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_24.xml,data/processed/acne04_yolo/labels/train/levle0_24.txt,3,3,0.000000,1.000000,1.000000,0,0,0,06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,false,NEEDS_REVIEW,duplicate_group_annotation_counts_differ
