image_id,split,source_image_path,source_xml_path,yolo_label_path,source_object_count,converted_object_count,max_coordinate_delta_px,minimum_matched_iou,mean_matched_iou,unmatched_source_boxes,unmatched_converted_boxes,very_small_box_count,duplicate_group_id,duplicate_crosses_split,automated_status,automated_reasons
levle1_526,train,data/raw/acne04/Classification/JPEGImages/levle1_526.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle1_526.xml,data/processed/acne04_yolo/labels/train/levle1_526.txt,11,11,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_257,train,data/raw/acne04/Classification/JPEGImages/levle0_257.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_257.xml,data/processed/acne04_yolo/labels/train/levle0_257.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_129,train,data/raw/acne04/Classification/JPEGImages/levle0_129.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_129.xml,data/processed/acne04_yolo/labels/train/levle0_129.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle2_100,train,data/raw/acne04/Classification/JPEGImages/levle2_100.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle2_100.xml,data/processed/acne04_yolo/labels/train/levle2_100.txt,21,21,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle1_0,val,data/raw/acne04/Classification/JPEGImages/levle1_0.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle1_0.xml,data/processed/acne04_yolo/labels/val/levle1_0.txt,10,10,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_518,val,data/raw/acne04/Classification/JPEGImages/levle0_518.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_518.xml,data/processed/acne04_yolo/labels/val/levle0_518.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_493,val,data/raw/acne04/Classification/JPEGImages/levle0_493.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_493.xml,data/processed/acne04_yolo/labels/val/levle0_493.txt,3,3,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_342,test,data/raw/acne04/Classification/JPEGImages/levle0_342.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_342.xml,data/processed/acne04_yolo/labels/test/levle0_342.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle2_94,test,data/raw/acne04/Classification/JPEGImages/levle2_94.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle2_94.xml,data/processed/acne04_yolo/labels/test/levle2_94.txt,21,21,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
levle0_28,test,data/raw/acne04/Classification/JPEGImages/levle0_28.jpg,data/raw/acne04/Detection/VOC2007/Annotations/levle0_28.xml,data/processed/acne04_yolo/labels/test/levle0_28.txt,1,1,0.000000,1.000000,1.000000,0,0,0,,false,PASS,
