path,detail
Annotations/levle0_12.xml,"Object 1: width=19, height=9; threshold=10px."
Annotations/levle0_224.xml,"Object 2: width=17, height=10; threshold=10px."
Annotations/levle1_18.xml,"Object 4: width=9, height=17; threshold=10px."
Annotations/levle1_19.xml,"Object 2: width=10, height=11; threshold=10px."
Annotations/levle1_19.xml,"Object 3: width=8, height=12; threshold=10px."
Annotations/levle1_19.xml,"Object 5: width=9, height=15; threshold=10px."
Annotations/levle1_25.xml,"Object 2: width=9, height=15; threshold=10px."
Annotations/levle1_25.xml,"Object 4: width=11, height=7; threshold=10px."
Annotations/levle1_25.xml,"Object 6: width=11, height=10; threshold=10px."
Annotations/levle1_25.xml,"Object 7: width=10, height=10; threshold=10px."
Annotations/levle1_25.xml,"Object 8: width=13, height=9; threshold=10px."
Annotations/levle1_25.xml,"Object 9: width=5, height=5; threshold=10px."
Annotations/levle1_25.xml,"Object 10: width=10, height=12; threshold=10px."
Annotations/levle1_25.xml,"Object 11: width=9, height=10; threshold=10px."
Annotations/levle1_25.xml,"Object 12: width=13, height=9; threshold=10px."
Annotations/levle1_255.xml,"Object 1: width=5, height=7; threshold=10px."
Annotations/levle1_255.xml,"Object 2: width=7, height=9; threshold=10px."
Annotations/levle1_255.xml,"Object 4: width=8, height=7; threshold=10px."
Annotations/levle1_255.xml,"Object 5: width=9, height=8; threshold=10px."
Annotations/levle1_256.xml,"Object 1: width=8, height=9; threshold=10px."
Annotations/levle1_256.xml,"Object 3: width=10, height=6; threshold=10px."
Annotations/levle1_256.xml,"Object 4: width=10, height=13; threshold=10px."
Annotations/levle1_256.xml,"Object 5: width=10, height=13; threshold=10px."
Annotations/levle1_4.xml,"Object 11: width=10, height=17; threshold=10px."
Annotations/levle1_452.xml,"Object 6: width=10, height=19; threshold=10px."
Annotations/levle1_553.xml,"Object 5: width=7, height=15; threshold=10px."
Annotations/levle1_638.xml,"Object 1: width=9, height=7; threshold=10px."
Annotations/levle1_638.xml,"Object 2: width=11, height=8; threshold=10px."
Annotations/levle1_638.xml,"Object 4: width=13, height=7; threshold=10px."
Annotations/levle1_638.xml,"Object 5: width=13, height=10; threshold=10px."
Annotations/levle1_638.xml,"Object 6: width=10, height=11; threshold=10px."
Annotations/levle1_638.xml,"Object 7: width=5, height=14; threshold=10px."
Annotations/levle1_639.xml,"Object 1: width=9, height=13; threshold=10px."
Annotations/levle1_639.xml,"Object 3: width=11, height=9; threshold=10px."
Annotations/levle1_639.xml,"Object 4: width=10, height=10; threshold=10px."
Annotations/levle1_639.xml,"Object 5: width=9, height=11; threshold=10px."
Annotations/levle1_639.xml,"Object 9: width=17, height=10; threshold=10px."
Annotations/levle1_640.xml,"Object 1: width=12, height=8; threshold=10px."
Annotations/levle1_640.xml,"Object 2: width=11, height=6; threshold=10px."
Annotations/levle1_640.xml,"Object 3: width=9, height=8; threshold=10px."
Annotations/levle1_640.xml,"Object 5: width=11, height=8; threshold=10px."
Annotations/levle1_641.xml,"Object 1: width=10, height=7; threshold=10px."
Annotations/levle1_641.xml,"Object 2: width=13, height=10; threshold=10px."
Annotations/levle1_641.xml,"Object 4: width=16, height=10; threshold=10px."
Annotations/levle1_641.xml,"Object 6: width=12, height=9; threshold=10px."
Annotations/levle1_641.xml,"Object 9: width=14, height=7; threshold=10px."
Annotations/levle1_641.xml,"Object 10: width=14, height=10; threshold=10px."
Annotations/levle1_642.xml,"Object 2: width=10, height=8; threshold=10px."
Annotations/levle1_642.xml,"Object 3: width=11, height=6; threshold=10px."
Annotations/levle1_642.xml,"Object 4: width=9, height=9; threshold=10px."
Annotations/levle1_642.xml,"Object 5: width=13, height=8; threshold=10px."
Annotations/levle1_8.xml,"Object 11: width=10, height=17; threshold=10px."
Annotations/levle2_1.xml,"Object 23: width=10, height=17; threshold=10px."
Annotations/levle2_116.xml,"Object 9: width=9, height=18; threshold=10px."
Annotations/levle2_12.xml,"Object 32: width=8, height=9; threshold=10px."
Annotations/levle2_127.xml,"Object 22: width=9, height=13; threshold=10px."
Annotations/levle2_127.xml,"Object 28: width=12, height=10; threshold=10px."
Annotations/levle2_14.xml,"Object 4: width=9, height=13; threshold=10px."
Annotations/levle2_14.xml,"Object 9: width=10, height=15; threshold=10px."
Annotations/levle2_14.xml,"Object 11: width=9, height=17; threshold=10px."
Annotations/levle2_14.xml,"Object 17: width=10, height=14; threshold=10px."
Annotations/levle2_14.xml,"Object 20: width=9, height=13; threshold=10px."
Annotations/levle2_14.xml,"Object 23: width=10, height=18; threshold=10px."
Annotations/levle2_14.xml,"Object 28: width=8, height=11; threshold=10px."
Annotations/levle2_18.xml,"Object 6: width=22, height=8; threshold=10px."
Annotations/levle2_18.xml,"Object 7: width=7, height=15; threshold=10px."
Annotations/levle2_18.xml,"Object 8: width=9, height=6; threshold=10px."
Annotations/levle2_18.xml,"Object 17: width=16, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 2: width=12, height=10; threshold=10px."
Annotations/levle2_188.xml,"Object 4: width=9, height=13; threshold=10px."
Annotations/levle2_188.xml,"Object 5: width=10, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 6: width=9, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 7: width=7, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 8: width=9, height=7; threshold=10px."
Annotations/levle2_188.xml,"Object 10: width=9, height=9; threshold=10px."
Annotations/levle2_188.xml,"Object 11: width=13, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 13: width=6, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 14: width=9, height=9; threshold=10px."
Annotations/levle2_188.xml,"Object 15: width=6, height=5; threshold=10px."
Annotations/levle2_188.xml,"Object 16: width=10, height=14; threshold=10px."
Annotations/levle2_188.xml,"Object 17: width=11, height=10; threshold=10px."
Annotations/levle2_188.xml,"Object 18: width=11, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 19: width=8, height=11; threshold=10px."
Annotations/levle2_188.xml,"Object 20: width=9, height=8; threshold=10px."
Annotations/levle2_188.xml,"Object 21: width=13, height=6; threshold=10px."
Annotations/levle2_188.xml,"Object 22: width=9, height=10; threshold=10px."
Annotations/levle2_188.xml,"Object 24: width=11, height=9; threshold=10px."
Annotations/levle2_188.xml,"Object 25: width=8, height=9; threshold=10px."
Annotations/levle2_188.xml,"Object 26: width=8, height=7; threshold=10px."
Annotations/levle2_188.xml,"Object 28: width=10, height=10; threshold=10px."
Annotations/levle2_188.xml,"Object 29: width=6, height=12; threshold=10px."
Annotations/levle2_188.xml,"Object 30: width=8, height=15; threshold=10px."
Annotations/levle2_188.xml,"Object 32: width=9, height=14; threshold=10px."
Annotations/levle2_19.xml,"Object 4: width=7, height=11; threshold=10px."
Annotations/levle2_19.xml,"Object 5: width=8, height=12; threshold=10px."
Annotations/levle2_19.xml,"Object 7: width=12, height=8; threshold=10px."
Annotations/levle2_19.xml,"Object 9: width=13, height=9; threshold=10px."
Annotations/levle2_19.xml,"Object 13: width=11, height=8; threshold=10px."
Annotations/levle2_19.xml,"Object 15: width=11, height=7; threshold=10px."
Annotations/levle2_19.xml,"Object 16: width=9, height=12; threshold=10px."
Annotations/levle2_19.xml,"Object 17: width=11, height=9; threshold=10px."
Annotations/levle2_19.xml,"Object 18: width=10, height=13; threshold=10px."
Annotations/levle2_19.xml,"Object 22: width=14, height=8; threshold=10px."
Annotations/levle2_19.xml,"Object 23: width=10, height=8; threshold=10px."
Annotations/levle2_19.xml,"Object 28: width=9, height=11; threshold=10px."
Annotations/levle2_19.xml,"Object 30: width=10, height=11; threshold=10px."
Annotations/levle2_19.xml,"Object 31: width=10, height=12; threshold=10px."
Annotations/levle2_2.xml,"Object 5: width=10, height=27; threshold=10px."
Annotations/levle2_24.xml,"Object 12: width=4, height=14; threshold=10px."
Annotations/levle2_24.xml,"Object 35: width=10, height=41; threshold=10px."
Annotations/levle2_30.xml,"Object 21: width=10, height=14; threshold=10px."
Annotations/levle2_7.xml,"Object 1: width=10, height=8; threshold=10px."
Annotations/levle2_7.xml,"Object 4: width=10, height=10; threshold=10px."
Annotations/levle2_7.xml,"Object 6: width=8, height=8; threshold=10px."
Annotations/levle2_7.xml,"Object 7: width=10, height=8; threshold=10px."
Annotations/levle2_7.xml,"Object 8: width=12, height=6; threshold=10px."
Annotations/levle2_7.xml,"Object 9: width=10, height=7; threshold=10px."
Annotations/levle2_7.xml,"Object 11: width=9, height=9; threshold=10px."
Annotations/levle2_7.xml,"Object 12: width=11, height=9; threshold=10px."
Annotations/levle2_7.xml,"Object 13: width=10, height=8; threshold=10px."
Annotations/levle2_7.xml,"Object 14: width=9, height=9; threshold=10px."
Annotations/levle2_7.xml,"Object 15: width=10, height=8; threshold=10px."
Annotations/levle2_7.xml,"Object 18: width=8, height=7; threshold=10px."
Annotations/levle2_7.xml,"Object 19: width=7, height=9; threshold=10px."
Annotations/levle2_7.xml,"Object 21: width=7, height=10; threshold=10px."
Annotations/levle2_7.xml,"Object 23: width=9, height=8; threshold=10px."
Annotations/levle2_7.xml,"Object 25: width=4, height=9; threshold=10px."
Annotations/levle2_7.xml,"Object 26: width=10, height=10; threshold=10px."
Annotations/levle2_7.xml,"Object 30: width=11, height=8; threshold=10px."
Annotations/levle2_7.xml,"Object 32: width=11, height=7; threshold=10px."
Annotations/levle2_7.xml,"Object 33: width=10, height=11; threshold=10px."
