image_id,split,preview_path,sampling_reason,source_object_count,converted_object_count,max_coordinate_delta_px,minimum_matched_iou,mean_matched_iou,unmatched_source_boxes,unmatched_converted_boxes,very_small_box_count,duplicate_group_id,duplicate_crosses_split,automated_status,automated_reasons,review_status,reviewer_notes
levle0_120,train,images/levle0_120.jpg,duplicate_group,4,4,0.000000,1.000000,1.000000,0,0,0,0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963,false,Needs review,duplicate_group_annotation_counts_differ,,
levle0_131,train,images/levle0_131.jpg,duplicate_group,2,2,0.000000,1.000000,1.000000,0,0,0,06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,false,Needs review,duplicate_group_annotation_counts_differ,,
levle0_141,train,images/levle0_141.jpg,random_train,3,3,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_167,train,images/levle0_167.jpg,seeded_random,1,1,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_173,test,images/levle0_173.jpg,random_test,1,1,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_227,test,images/levle0_227.jpg,random_test,1,1,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_24,train,images/levle0_24.jpg,duplicate_group,3,3,0.000000,1.000000,1.000000,0,0,0,06b2c41628e227aa15415aba6aac881e47eb6c06d74bb9b0b592664e2a81b4a5,false,Needs review,duplicate_group_annotation_counts_differ,,
levle0_319,train,images/levle0_319.jpg,seeded_random,2,2,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_360,val,images/levle0_360.jpg,seeded_random,2,2,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_406,test,images/levle0_406.jpg,random_test,2,2,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_42,train,images/levle0_42.jpg,duplicate_group,2,2,0.000000,1.000000,1.000000,0,0,0,2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2,false,Needs review,duplicate_group_annotation_counts_differ,,
levle0_528,train,images/levle0_528.jpg,seeded_random,5,5,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle0_94,train,images/levle0_94.jpg,duplicate_group,1,1,0.000000,1.000000,1.000000,0,0,0,2ccdae05d565fc9ef819d95265797441846727b73804094323902594a9ceadd2,false,Needs review,duplicate_group_annotation_counts_differ,,
levle1_115,train,images/levle1_115.jpg,random_train,13,13,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_177,train,images/levle1_177.jpg,seeded_random,6,6,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_20,train,images/levle1_20.jpg,duplicate_group,8,8,0.000000,1.000000,1.000000,0,0,0,3fcb0f1627c6ad98df131b8f9c7ae10e9ba5d0e9599cf525ec54ce072ebcbfe5,false,Needs review,duplicate_group_annotation_counts_differ,,
levle1_23,test,images/levle1_23.jpg,duplicate_group,9,9,0.000000,1.000000,1.000000,0,0,0,188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a,false,Needs review,duplicate_group_annotation_counts_differ,,
levle1_273,test,images/levle1_273.jpg,random_test,6,6,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_302,train,images/levle1_302.jpg,seeded_random,9,9,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_303,train,images/levle1_303.jpg,random_train,6,6,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_342,test,images/levle1_342.jpg,random_test,6,6,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_344,val,images/levle1_344.jpg,seeded_random,4,4,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_383,val,images/levle1_383.jpg,random_val,6,6,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_394,val,images/levle1_394.jpg,random_val,13,13,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_450,test,images/levle1_450.jpg,random_test,8,8,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_486,train,images/levle1_486.jpg,duplicate_group,8,8,0.000000,1.000000,1.000000,0,0,0,0831ea7a4bc5e0477d5b41eec0553130c4811d8eebb93fc2eb0ce584a7c4a963,false,Needs review,duplicate_group_annotation_counts_differ,,
levle1_572,train,images/levle1_572.jpg,duplicate_group,11,11,0.000000,1.000000,1.000000,0,0,0,2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a,false,Needs review,duplicate_group_annotation_counts_differ,,
levle1_574,train,images/levle1_574.jpg,duplicate_group,7,7,0.000000,1.000000,1.000000,0,0,0,2666ed0601e6579477889e5671972520bf5bd766ed6ac383d51c44107f46606a,false,Needs review,duplicate_group_annotation_counts_differ,,
levle1_599,train,images/levle1_599.jpg,seeded_random,12,12,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle1_611,val,images/levle1_611.jpg,random_val,11,11,0.000000,1.000000,1.000000,0,0,0,af66359e36acb57b34e05a2afdcecc11f2e79d77d86da66bae0197b7875c5971,false,Needs review,duplicate_group_annotation_counts_differ,,
levle1_612,val,images/levle1_612.jpg,random_val,14,14,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle2_128,train,images/levle2_128.jpg,random_train,14,14,0.000000,1.000000,1.000000,0,0,0,b538b91a3834cc61f2bae23436e14c79dc7695f268b9faed486bcafca0ba87fe,false,Needs review,duplicate_group_annotation_counts_differ,,
levle2_150,val,images/levle2_150.jpg,random_val,21,21,0.000000,1.000000,1.000000,0,0,0,5b605bc92fcd022a9193bbdf5c9e0ac18bce8da4e29df9a6731b1bb46dcd1eea,false,Needs review,duplicate_group_annotation_counts_differ,,
levle2_151,train,images/levle2_151.jpg,duplicate_group,24,24,0.000000,1.000000,1.000000,0,0,0,3fcb0f1627c6ad98df131b8f9c7ae10e9ba5d0e9599cf525ec54ce072ebcbfe5,false,Needs review,duplicate_group_annotation_counts_differ,,
levle2_153,test,images/levle2_153.jpg,duplicate_group,24,24,0.000000,1.000000,1.000000,0,0,0,188f8fbae3b30080927c37f44890906e211578ec177ea2a3b021a166b252b09a,false,Needs review,duplicate_group_annotation_counts_differ,,
levle2_174,train,images/levle2_174.jpg,random_train,30,30,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle2_24,train,images/levle2_24.jpg,seeded_random,37,37,0.000000,1.000000,1.000000,0,0,2,,false,Needs review,contains_very_small_box,,
levle2_42,val,images/levle2_42.jpg,random_val,21,21,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle2_7,train,images/levle2_7.jpg,contains_very_small_box,42,42,0.000000,1.000000,1.000000,0,0,28,,false,Needs review,contains_very_small_box,,
levle2_76,train,images/levle2_76.jpg,random_train,24,24,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle3_0,train,images/levle3_0.jpg,contains_very_small_box,64,64,0.000000,1.000000,1.000000,0,0,46,,false,Needs review,contains_very_small_box,,
levle3_10,train,images/levle3_10.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,2,,false,Needs review,contains_very_small_box,,
levle3_102,val,images/levle3_102.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle3_115,train,images/levle3_115.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle3_118,train,images/levle3_118.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,1,,false,Needs review,contains_very_small_box,,
levle3_123,train,images/levle3_123.jpg,contains_very_small_box,55,55,0.000000,1.000000,1.000000,0,0,50,,false,Needs review,contains_very_small_box,,
levle3_128,val,images/levle3_128.jpg,contains_very_small_box,54,54,0.000000,1.000000,1.000000,0,0,37,,false,Needs review,contains_very_small_box,,
levle3_137,train,images/levle3_137.jpg,contains_very_small_box,58,58,0.000000,1.000000,1.000000,0,0,37,,false,Needs review,contains_very_small_box,,
levle3_141,train,images/levle3_141.jpg,contains_very_small_box,63,63,0.000000,1.000000,1.000000,0,0,28,,false,Needs review,contains_very_small_box,,
levle3_16,train,images/levle3_16.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle3_17,train,images/levle3_17.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
levle3_2,train,images/levle3_2.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,1,,false,Needs review,contains_very_small_box,,
levle3_20,test,images/levle3_20.jpg,seeded_random,57,57,0.000000,1.000000,1.000000,0,0,1,,false,Needs review,contains_very_small_box,,
levle3_22,train,images/levle3_22.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,9,,false,Needs review,contains_very_small_box,,
levle3_26,train,images/levle3_26.jpg,contains_very_small_box,62,62,0.000000,1.000000,1.000000,0,0,38,,false,Needs review,contains_very_small_box,,
levle3_28,val,images/levle3_28.jpg,contains_very_small_box,62,62,0.000000,1.000000,1.000000,0,0,31,,false,Needs review,contains_very_small_box,,
levle3_30,train,images/levle3_30.jpg,contains_very_small_box,54,54,0.000000,1.000000,1.000000,0,0,32,,false,Needs review,contains_very_small_box,,
levle3_34,train,images/levle3_34.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,1,,false,Needs review,contains_very_small_box,,
levle3_37,test,images/levle3_37.jpg,contains_very_small_box,55,55,0.000000,1.000000,1.000000,0,0,50,,false,Needs review,contains_very_small_box,,
levle3_6,train,images/levle3_6.jpg,many_objects,65,65,0.000000,1.000000,1.000000,0,0,0,,false,Pass,,,
